From	Entry	Database	Gene Names	Gene Ontology (biological process)	Gene Ontology (molecular function)
evm.utg1330.14	O08726	swissprot	Galr2 Galnr2	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; galanin-activated signaling pathway [GO:0090663]; G protein-coupled receptor signaling pathway [GO:0007186]; inositol phosphate metabolic process [GO:0043647]; neuron projection development [GO:0031175]; phosphatidylinositol metabolic process [GO:0046488]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of transcription by RNA polymerase II [GO:0045944]	galanin receptor activity [GO:0004966]; G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; peptide hormone binding [GO:0017046]
evm.utg1330.20	P97288	swissprot	Htr4	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-activating serotonin receptor signaling pathway [GO:0007192]; adenylate cyclase-inhibiting serotonin receptor signaling pathway [GO:0007198]; chemical synaptic transmission [GO:0007268]; gamma-aminobutyric acid signaling pathway [GO:0007214]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; G protein-coupled receptor signaling pathway [GO:0007186]; large intestinal transit [GO:0120056]; maintenance of gastrointestinal epithelium [GO:0030277]; mucus secretion [GO:0070254]; regulation of appetite [GO:0032098]; regulation of postsynapse assembly [GO:0150052]; system process [GO:0003008]	G protein-coupled receptor activity [GO:0004930]; G protein-coupled serotonin receptor activity [GO:0004993]; identical protein binding [GO:0042802]; neurotransmitter receptor activity [GO:0030594]; protein binding [GO:0005515]; serotonin binding [GO:0051378]; serotonin receptor activity [GO:0099589]
evm.utg1330.23	F1QQC3	swissprot	loxl2a	collagen fibril organization [GO:0030199]; endothelial cell migration [GO:0043542]; endothelial cell proliferation [GO:0001935]; epithelial to mesenchymal transition [GO:0001837]; heterochromatin organization [GO:0070828]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; response to hypoxia [GO:0001666]; sprouting angiogenesis [GO:0002040]	calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor [GO:0016641]; protein-lysine 6-oxidase activity [GO:0004720]
evm.utg1330.23.1.5c22ea35	F1QQC3	swissprot	loxl2a	collagen fibril organization [GO:0030199]; endothelial cell migration [GO:0043542]; endothelial cell proliferation [GO:0001935]; epithelial to mesenchymal transition [GO:0001837]; heterochromatin organization [GO:0070828]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; response to hypoxia [GO:0001666]; sprouting angiogenesis [GO:0002040]	calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor [GO:0016641]; protein-lysine 6-oxidase activity [GO:0004720]
evm.utg1330.23.2.5c22ea35	F1QQC3	swissprot	loxl2a	collagen fibril organization [GO:0030199]; endothelial cell migration [GO:0043542]; endothelial cell proliferation [GO:0001935]; epithelial to mesenchymal transition [GO:0001837]; heterochromatin organization [GO:0070828]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; response to hypoxia [GO:0001666]; sprouting angiogenesis [GO:0002040]	calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor [GO:0016641]; protein-lysine 6-oxidase activity [GO:0004720]
evm.utg1330.23.3.5c22ea35	F1QQC3	swissprot	loxl2a	collagen fibril organization [GO:0030199]; endothelial cell migration [GO:0043542]; endothelial cell proliferation [GO:0001935]; epithelial to mesenchymal transition [GO:0001837]; heterochromatin organization [GO:0070828]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of stem cell population maintenance [GO:1902455]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; response to hypoxia [GO:0001666]; sprouting angiogenesis [GO:0002040]	calcium ion binding [GO:0005509]; copper ion binding [GO:0005507]; oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor [GO:0016641]; protein-lysine 6-oxidase activity [GO:0004720]
evm.utg1337.1	A7RTV1	trembl	NEMVEDRAFT_v1g32231	karyomere membrane fusion [GO:0061472]; pronuclear fusion [GO:0007344]	
evm.utg1337.4	A8WGF4	swissprot	ift122	camera-type eye morphogenesis [GO:0048593]; cilium assembly [GO:0060271]; establishment of localization in cell [GO:0051649]; establishment of protein localization [GO:0045184]; heart development [GO:0007507]; intracellular protein localization [GO:0008104]; intraciliary retrograde transport [GO:0035721]; intraciliary transport [GO:0042073]; negative regulation of smoothened signaling pathway [GO:0045879]; nervous system development [GO:0007399]; non-motile cilium assembly [GO:1905515]; protein localization to cilium [GO:0061512]; regulation of smoothened signaling pathway [GO:0008589]	
evm.utg1337.4.1.5c22ea39	A8WGF4	swissprot	ift122	camera-type eye morphogenesis [GO:0048593]; cilium assembly [GO:0060271]; establishment of localization in cell [GO:0051649]; establishment of protein localization [GO:0045184]; heart development [GO:0007507]; intracellular protein localization [GO:0008104]; intraciliary retrograde transport [GO:0035721]; intraciliary transport [GO:0042073]; negative regulation of smoothened signaling pathway [GO:0045879]; nervous system development [GO:0007399]; non-motile cilium assembly [GO:1905515]; protein localization to cilium [GO:0061512]; regulation of smoothened signaling pathway [GO:0008589]	
evm.utg1337.5	A0A1U8QYZ5	swissprot	smtA AN5688 ANIA_05688	glucosylceramide biosynthetic process [GO:0006679]; sphingolipid metabolic process [GO:0006665]	methyltransferase activity [GO:0008168]
evm.utg1337.6	A0A6P8I3G3	trembl	LOC116295682	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin recycling [GO:0010992]	ubiquitin binding [GO:0043130]
evm.utg1337.8	Q62636	swissprot	Rap1b	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell population proliferation [GO:0008283]; cellular response to cAMP [GO:0071320]; cellular response to forskolin [GO:1904322]; cellular response to gonadotropin-releasing hormone [GO:0097211]; establishment of endothelial barrier [GO:0061028]; insulin secretion [GO:0030073]; modification of postsynaptic structure [GO:0099010]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of integrin activation [GO:0033625]; Rap protein signal transduction [GO:0032486]; regulation of cell junction assembly [GO:1901888]; regulation of establishment of cell polarity [GO:2000114]; response to carbohydrate [GO:0009743]; signal transduction [GO:0007165]; small GTPase-mediated signal transduction [GO:0007264]	GDP binding [GO:0019003]; G protein activity [GO:0003925]; GTP binding [GO:0005525]; protein-containing complex binding [GO:0044877]
evm.utg1337.8.1.5c22ea3a	Q62636	swissprot	Rap1b	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell population proliferation [GO:0008283]; cellular response to cAMP [GO:0071320]; cellular response to forskolin [GO:1904322]; cellular response to gonadotropin-releasing hormone [GO:0097211]; establishment of endothelial barrier [GO:0061028]; insulin secretion [GO:0030073]; modification of postsynaptic structure [GO:0099010]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of synaptic vesicle exocytosis [GO:2000301]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of integrin activation [GO:0033625]; Rap protein signal transduction [GO:0032486]; regulation of cell junction assembly [GO:1901888]; regulation of establishment of cell polarity [GO:2000114]; response to carbohydrate [GO:0009743]; signal transduction [GO:0007165]; small GTPase-mediated signal transduction [GO:0007264]	GDP binding [GO:0019003]; G protein activity [GO:0003925]; GTP binding [GO:0005525]; protein-containing complex binding [GO:0044877]
evm.utg1337.9	Q8HZ64	swissprot	TAAR1 TA1 TAR1 TRAR1	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; G protein-coupled receptor signaling pathway [GO:0007186]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]	G protein-coupled receptor activity [GO:0004930]; trace-amine receptor activity [GO:0001594]
evm.utg1337.10	A4IHD2	swissprot	rad54l2 arip4	chromatin remodeling [GO:0006338]	ATP binding [GO:0005524]; ATP-dependent chromatin remodeler activity [GO:0140658]; ATP hydrolysis activity [GO:0016887]; transcription coregulator activity [GO:0003712]
evm.utg1337.11	O15541	swissprot	RNF113A RNF113 ZNF183	mRNA splicing, via spliceosome [GO:0000398]; negative regulation of chemokine-mediated signaling pathway [GO:0070100]; protein ubiquitination [GO:0016567]	metal ion binding [GO:0046872]; protein binding [GO:0005515]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
evm.utg1337.13	Q8K339	swissprot	Kin Btcd Kin17	DNA damage response [GO:0006974]	double-stranded DNA binding [GO:0003690]
evm.utg1337.15	A0A6P8H858	trembl	LOC116286529	anatomical structure morphogenesis [GO:0009653]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
evm.utg1337.18	A0A6P8GZN2	trembl	LOC116286542	anatomical structure morphogenesis [GO:0009653]; regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
evm.utg1337.19	Q9W0T5	swissprot	pyx CG17142	calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; monoatomic cation transmembrane transport [GO:0098655]; monoatomic cation transport [GO:0006812]; monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]; negative gravitaxis [GO:0048060]; potassium ion transport [GO:0006813]; response to heat [GO:0009408]	calcium channel activity [GO:0005262]; monoatomic cation channel activity [GO:0005261]; monoatomic ion channel activity [GO:0005216]
evm.utg1337.20	A0A913XEL8	trembl		monoatomic ion transmembrane transport [GO:0034220]	transmembrane transporter activity [GO:0022857]
evm.utg1337.21	Q8BLA8	swissprot	Trpa1 Anktm1	calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; calcium-mediated signaling [GO:0019722]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception [GO:0050974]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transport [GO:0006811]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to hydrogen peroxide [GO:0042542]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; system process [GO:0003008]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832]	calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; monoatomic ion channel activity [GO:0005216]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; protein binding [GO:0005515]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245]
evm.utg1337.22	A0A6P8H863	trembl	LOC116286532	regulation of transcription by RNA polymerase II [GO:0006357]	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
evm.utg1337.28	P49217	swissprot	MTNR1A	G protein-coupled receptor signaling pathway [GO:0007186]	G protein-coupled receptor activity [GO:0004930]; melatonin receptor activity [GO:0008502]
evm.utg1345.4	A0A6S7IS39	trembl	PACLA_8A055642	DNA integration [GO:0015074]	
evm.utg1345.6	A0A913YDN5	trembl			nucleic acid binding [GO:0003676]
evm.utg1345.11	A0A7D9I5T6	trembl	PACLA_8A017350		phosphatidylcholine lysophospholipase A1 activity [GO:0004622]
evm.utg1345.17	A0A6S7I4V9	trembl	PACLA_8A058625		ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
evm.utg1345.18	A0A9W9YCA7	trembl	OS493_017148		nucleic acid binding [GO:0003676]
evm.utg1345.20	A0A2B4R1M6	trembl	AWC38_SpisGene24669	proteolysis [GO:0006508]	cysteine-type peptidase activity [GO:0008234]
evm.utg1345.31	Q7T2B9	swissprot	mtpn	positive regulation of cardiac muscle hypertrophy [GO:0010613]; regulation of barbed-end actin filament capping [GO:2000812]	
evm.utg1345.33.36	Q86C56	swissprot	gcy-31 T07D1.1	cGMP biosynthetic process [GO:0006182]; cyclic nucleotide biosynthetic process [GO:0009190]; intracellular signal transduction [GO:0035556]; nitric oxide-cGMP-mediated signaling [GO:0038060]; response to oxygen levels [GO:0070482]	guanylate cyclase activity [GO:0004383]; heme binding [GO:0020037]; nitric oxide binding [GO:0070026]; oxygen sensor activity [GO:0019826]; phosphorus-oxygen lyase activity [GO:0016849]
evm.utg1345.38	Q6YNB6	swissprot	FSHR	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; follicle-stimulating hormone signaling pathway [GO:0042699]; G protein-coupled receptor signaling pathway [GO:0007186]; hormone-mediated signaling pathway [GO:0009755]; male gonad development [GO:0008584]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]	follicle-stimulating hormone receptor activity [GO:0004963]; G protein-coupled peptide receptor activity [GO:0008528]; G protein-coupled receptor activity [GO:0004930]; protein-hormone receptor activity [GO:0016500]; signaling receptor activity [GO:0038023]
